;Website;Source;domain
218;https://svpressa.ru;Global_DB;svpressa.ru
221;https://strategic-culture.org;Global_DB;strategic-culture.org
222;https://www.bitchute.com;Global_DB;bitchute.com
224;https://rg.ru;Global_DB;rg.ru
226;https://fondsk.ru;Global_DB;fondsk.ru
228;https://iz.ru;Global_DB;iz.ru
229;http://thetimes.co.uk;Global_DB;thetimes.co.uk
232;https://iravunk.com;Global_DB;iravunk.com
233;https://vesti7.ru;Global_DB;vesti7.ru
234;https://www.mk.ru;Global_DB;mk.ru
235;https://tlgrm.ru;Global_DB;tlgrm.ru
236;http://svetkolemnas.info;Global_DB;svetkolemnas.info
237;https://utro.ru;Global_DB;utro.ru
238;https://thepeoplesvoice.tv;Global_DB;newspunch.com
239;https://antifashist.com;Global_DB;antifashist.com
240;https://www.la7.it;Global_DB;la7.it
241;https://expose-news.com;Global_DB;dailyexpose.uk
242;https://www.anonymousnews.org;Global_DB;anonymousnews.ru
244;https://akwadon.com;Global_DB;akwadon.com
245;https://actualidad-rt.com;Global_DB;actualidad-rt.com
246;http://life.ru;Global_DB;life.ru
247;https://news.am/arm/;Global_DB;news.am
248;https://www.lantidiplomatico.it;Global_DB;lantidiplomatico.it
250;https://kan.org.il;Global_DB;kan.org.il
252;https://www.theaustralian.com.au;Global_DB;theaustralian.com.au
253;https://www.wochenblick.at;Global_DB;wochenblick.at
254;https://www.repubblica.it;Global_DB;repubblica.it
255;https://www.paulcraigroberts.org;Global_DB;paulcraigroberts.org
256;https://akhbarak.net;Global_DB;akhbarak.net
258;https://www.hlavnespravy.sk;Global_DB;hlavnespravy.sk
259;https://unser-mitteleuropa.com;Global_DB;unser-mitteleuropa.com
261;https://antimaydan.info;Global_DB;antimaydan.info
262;https://www.myvideo.ge;Global_DB;myvideo.ge
263;https://russtrat.ru;Global_DB;russtrat.ru
264;https://www.czechfreepress.cz;Global_DB;czechfreepress.cz
266;https://baltnews.com;Global_DB;baltnews.com
267;https://glz.co.il/גלצ;Global_DB;glz.co.il
268;http://childrenshealthdefense.org;Global_DB;childrenshealthdefense.org
269;https://www.abc.net.au;Global_DB;abc.net.au
271;https://www.livejournal.com;Global_DB;livejournal.com
272;https://www.sonar2050.org;Global_DB;sonar2050.org
274;https://mejdurecie.md;Global_DB;mejdurecie.md
275;https://www.pravda.ru;Global_DB;pravda.ru
276;https://journalistenwatch.com;Global_DB;journalistenwatch.com
278;https://www.maariv.co.il;Global_DB;maariv.co.il
279;https://www.gazeta.ru;Global_DB;gazeta.ru
280;http://report24.news;Global_DB;report24.news
281;https://zemavek.sk;Global_DB;zemavek.sk
